Open time,Open,High,Low,Close,Volume
2018-01-01 01:00:00,733.01,734.52,720.03,725.51,1007.73
2018-01-01 01:30:00,725.51,728.61,722.5,727.62,1098.17
2018-01-01 02:00:00,727.01,732.0,723.0,729.55,1064.41
2018-01-01 02:30:00,729.78,731.9,716.8,717.97,1241.56
2018-01-01 03:00:00,717.67,725.75,717.59,720.92,1105.28
2018-01-01 03:30:00,720.33,725.0,718.06,724.05,1061.18
2018-01-01 04:00:00,723.95,737.99,722.7,736.98,1076.71
2018-01-01 04:30:00,736.04,737.0,732.01,734.5,1084.2
2018-01-01 05:00:00,734.99,740.0,730.01,738.32,1173.76
2018-01-01 05:30:00,738.33,744.98,738.33,744.82,1161.58
2018-01-01 06:00:00,744.78,749.63,742.08,748.96,1293.07
2018-01-01 06:30:00,747.64,750.0,746.17,748.99,996.13
2018-01-01 07:00:00,748.91,750.9,746.21,750.06,1088.05
2018-01-01 07:30:00,750.06,762.18,750.0,762.18,1416.08
2018-01-01 08:00:00,762.18,763.55,750.0,755.11,1587.1
2018-01-01 08:30:00,755.17,757.99,750.5,751.99,776.59
2018-01-01 09:00:00,751.77,758.1,750.0,752.28,982.79
2018-01-01 09:30:00,751.8,751.8,737.4,745.0,1401.67
2018-01-01 10:00:00,744.08,755.0,744.08,748.77,986.62
2018-01-01 10:30:00,749.82,754.99,747.8,753.21,830.99
2018-01-01 11:00:00,754.22,755.0,750.0,753.06,783.72
2018-01-01 11:30:00,753.1,759.0,752.81,757.1,836.16
2018-01-01 12:00:00,757.07,758.0,732.0,734.98,1966.55
2018-01-01 12:30:00,734.24,743.52,730.58,741.01,1150.88
2018-01-01 13:00:00,741.01,745.7,737.74,741.41,1226.1
2018-01-01 13:30:00,741.06,748.8,740.0,745.0,1037.69
2018-01-01 14:00:00,746.52,747.06,729.79,738.11,1774.87
2018-01-01 14:30:00,738.1,744.47,735.32,738.93,939.53
2018-01-01 15:00:00,738.99,740.0,724.15,730.02,1875.47
2018-01-01 15:30:00,730.2,744.67,728.51,742.74,1896.18
2018-01-01 16:00:00,742.41,752.27,738.37,751.22,1589.39
2018-01-01 16:30:00,751.11,752.0,745.94,748.8,944.86
2018-01-01 17:00:00,748.27,748.91,736.24,740.99,803.42
2018-01-01 17:30:00,740.48,746.38,733.0,739.08,1084.59
2018-01-01 18:00:00,739.25,747.18,739.25,745.73,807.11
2018-01-01 18:30:00,746.18,746.99,735.59,737.02,1437.57
2018-01-01 19:00:00,737.01,743.58,734.0,741.01,1033.21
2018-01-01 19:30:00,741.01,743.01,738.89,742.98,593.78
2018-01-01 20:00:00,742.98,748.0,741.64,746.3,1085.35
2018-01-01 20:30:00,746.4,749.98,744.5,746.23,911.97
2018-01-01 21:00:00,746.23,753.0,744.39,751.29,1099.41
2018-01-01 21:30:00,751.33,758.25,751.33,757.42,883.53
2018-01-01 22:00:00,757.42,762.62,756.51,760.57,1085.49
2018-01-01 22:30:00,761.97,762.49,757.39,759.28,905.27
2018-01-01 23:00:00,759.0,760.99,752.04,758.33,961.56
2018-01-01 23:30:00,758.31,759.0,754.01,754.58,662.63
2018-01-02 00:00:00,754.56,755.69,750.46,754.19,1107.19
2018-01-02 00:30:00,754.1,757.73,752.32,754.99,992.13
2018-01-02 01:00:00,754.99,772.81,754.34,771.1,1462.92
2018-01-02 01:30:00,772.05,786.55,749.06,784.74,3255.94
2018-01-02 02:00:00,784.75,798.67,780.32,798.09,2132.79
2018-01-02 02:30:00,798.1,870.0,798.1,854.29,4922.21
2018-01-02 03:00:00,850.25,899.5,827.0,877.0,9192.95
2018-01-02 03:30:00,877.0,882.02,840.0,857.94,6940.97
2018-01-02 04:00:00,857.94,857.98,827.03,844.15,4318.05
2018-01-02 04:30:00,844.15,850.0,825.25,826.92,2716.09
2018-01-02 05:00:00,827.0,850.0,825.25,829.02,2888.12
2018-01-02 05:30:00,829.02,840.23,817.0,833.99,4020.05
2018-01-02 06:00:00,833.99,855.26,833.72,847.42,2340.45
2018-01-02 06:30:00,849.46,849.7,838.07,842.23,1305.31
2018-01-02 07:00:00,842.25,854.8,842.22,852.79,1417.62
2018-01-02 07:30:00,852.79,857.0,845.05,846.09,1203.09
2018-01-02 08:00:00,846.99,852.0,841.99,845.01,1380.03
2018-01-02 08:30:00,845.01,848.0,843.0,847.6,1023.5
2018-01-02 09:00:00,847.6,847.6,843.15,844.99,1436.78
2018-01-02 09:30:00,844.99,845.83,835.85,836.42,1809.78
2018-01-02 10:00:00,837.87,840.0,825.11,832.0,1714.84
2018-01-02 10:30:00,832.01,838.92,827.99,837.05,1289.83
2018-01-02 11:00:00,837.06,841.5,836.21,838.56,1313.35
2018-01-02 11:30:00,838.34,849.9,838.31,848.5,1370.09
2018-01-02 12:00:00,848.26,853.97,843.79,846.27,1718.81
2018-01-02 12:30:00,846.32,850.38,843.18,849.1,1466.47
2018-01-02 13:00:00,849.57,854.5,846.0,848.41,1577.3
2018-01-02 13:30:00,848.91,848.93,840.0,843.15,1778.54
2018-01-02 14:00:00,843.15,848.59,835.83,844.34,2410.29
2018-01-02 14:30:00,844.33,861.95,841.5,861.95,1963.72
2018-01-02 15:00:00,861.93,866.65,850.0,858.0,1860.1
2018-01-02 15:30:00,857.0,859.95,855.0,856.93,1734.34
2018-01-02 16:00:00,856.92,866.0,855.8,862.48,3239.14
2018-01-02 16:30:00,862.45,866.12,857.46,865.56,1835.54
2018-01-02 17:00:00,865.56,875.0,865.13,874.9,2630.78
2018-01-02 17:30:00,874.99,878.0,860.0,862.0,2306.82
2018-01-02 18:00:00,862.0,866.99,858.48,865.97,2078.07
2018-01-02 18:30:00,865.96,867.8,860.21,867.68,1068.49
2018-01-02 19:00:00,867.69,874.34,862.83,867.12,2532.96
2018-01-02 19:30:00,867.11,868.27,831.14,854.93,3415.79
2018-01-02 20:00:00,854.71,854.93,810.0,831.8,4418.18
2018-01-02 20:30:00,831.8,854.0,820.31,850.97,4164.67
